logged_at,player,team,elapsed_seconds,started_at,completed_at
2026-06-15T09:03:51.462621+00:00,Kaspar,purple,4.22,2026-06-15T09:03:47.239471+00:00,2026-06-15T09:03:51.462614+00:00
2026-06-15T09:07:16.162604+00:00,Kaur,green,160.46,2026-06-15T09:04:35.706732+00:00,2026-06-15T09:07:16.162601+00:00
2026-06-15T10:22:55.665015+00:00,ll,purple,518.93,2026-06-15T10:14:16.739818+00:00,2026-06-15T10:22:55.665011+00:00
2026-06-15T10:22:56.478564+00:00,lera,green,555.93,2026-06-15T10:13:40.550275+00:00,2026-06-15T10:22:56.478553+00:00
2026-06-15T10:47:15.784287+00:00,arina,green,303.09,2026-06-15T10:42:12.689854+00:00,2026-06-15T10:47:15.784281+00:00
2026-06-15T10:47:18.833678+00:00,anna,purple,311.31,2026-06-15T10:42:07.527307+00:00,2026-06-15T10:47:18.833671+00:00
2026-06-15T10:53:41.554577+00:00,anna,purple,347.62,2026-06-15T10:47:53.938560+00:00,2026-06-15T10:53:41.554571+00:00
2026-06-15T10:58:05.037109+00:00,anna,purple,239.51,2026-06-15T10:54:05.523905+00:00,2026-06-15T10:58:05.037104+00:00
2026-06-15T11:01:19.291513+00:00,anna,purple,170.8,2026-06-15T10:58:28.495934+00:00,2026-06-15T11:01:19.291509+00:00
2026-06-15T11:01:40.795628+00:00,lera,green,796.97,2026-06-15T10:48:23.823072+00:00,2026-06-15T11:01:40.795621+00:00
2026-06-15T11:05:22.419246+00:00,leraarina,green,167.54,2026-06-15T11:02:34.882454+00:00,2026-06-15T11:05:22.419242+00:00
2026-06-15T11:11:43.765532+00:00,leraarina,green,173.95,2026-06-15T11:08:49.816005+00:00,2026-06-15T11:11:43.765527+00:00
2026-06-16T15:22:24.137884+00:00,qwe,green,66.15,2026-06-16T15:21:17.985468+00:00,2026-06-16T15:22:24.137872+00:00
2026-06-17T06:35:37.258617+00:00,123,green,67.52,2026-06-17T06:34:29.743432+00:00,2026-06-17T06:35:37.258612+00:00
2026-06-17T06:47:08.983321+00:00,test,purple,736.95,2026-06-17T06:34:52.034314+00:00,2026-06-17T06:47:08.983314+00:00
2026-06-17T07:33:59.611992+00:00,denissnastya,purple,845.81,2026-06-17T07:19:53.803910+00:00,2026-06-17T07:33:59.611989+00:00
2026-06-17T07:34:50.038381+00:00,123,green,871.24,2026-06-17T07:20:18.795700+00:00,2026-06-17T07:34:50.038375+00:00
2026-06-17T07:39:31.341514+00:00,Tom,purple,110.57,2026-06-17T07:37:40.774877+00:00,2026-06-17T07:39:31.341508+00:00
2026-06-17T07:50:48.158515+00:00,Lucas,purple,461.05,2026-06-17T07:43:07.112512+00:00,2026-06-17T07:50:48.158510+00:00
2026-06-17T07:51:25.985378+00:00,denissnastya,green,338.65,2026-06-17T07:45:47.340270+00:00,2026-06-17T07:51:25.985373+00:00
2026-06-17T07:56:36.222854+00:00,Kristian,purple,242.28,2026-06-17T07:52:33.944111+00:00,2026-06-17T07:56:36.222850+00:00
2026-06-17T08:01:16.513581+00:00,Kristian,purple,263.22,2026-06-17T07:56:53.295639+00:00,2026-06-17T08:01:16.513572+00:00
2026-06-17T08:06:21.623237+00:00,denissnastya,green,124.15,2026-06-17T08:04:17.468811+00:00,2026-06-17T08:06:21.623226+00:00
2026-06-17T08:09:11.906716+00:00,denissnastya,green,135.39,2026-06-17T08:06:56.512122+00:00,2026-06-17T08:09:11.906711+00:00
2026-06-17T08:17:52.673012+00:00,Tom,purple,81.72,2026-06-17T08:16:30.953846+00:00,2026-06-17T08:17:52.673007+00:00
2026-06-17T08:30:28.852893+00:00,Tom,purple,271.95,2026-06-17T08:25:56.902355+00:00,2026-06-17T08:30:28.852888+00:00
2026-06-17T10:14:59.317439+00:00,gazan67,purple,347.32,2026-06-17T10:09:12.001213+00:00,2026-06-17T10:14:59.317428+00:00
2026-06-17T10:15:00.050803+00:00,gazan67,green,342.22,2026-06-17T10:09:17.828982+00:00,2026-06-17T10:15:00.050794+00:00
2026-06-17T10:19:50.863129+00:00,gazan67,purple,262.01,2026-06-17T10:15:28.856580+00:00,2026-06-17T10:19:50.863123+00:00
2026-06-17T10:19:51.624089+00:00,gazan67,green,261.21,2026-06-17T10:15:30.418509+00:00,2026-06-17T10:19:51.624083+00:00
2026-06-17T10:23:51.156421+00:00,gazan67,purple,203.36,2026-06-17T10:20:27.797064+00:00,2026-06-17T10:23:51.156407+00:00
2026-06-17T10:23:52.031487+00:00,gazan67,green,204.7,2026-06-17T10:20:27.336456+00:00,2026-06-17T10:23:52.031481+00:00
2026-06-17T10:30:12.984165+00:00,sten  miroslav,purple,307.65,2026-06-17T10:25:05.336348+00:00,2026-06-17T10:30:12.984158+00:00
2026-06-17T10:30:13.858076+00:00,Daniel Jarik,green,291.07,2026-06-17T10:25:22.789608+00:00,2026-06-17T10:30:13.858070+00:00
2026-06-17T10:32:53.812327+00:00,sten  miroslav,purple,127.85,2026-06-17T10:30:45.959377+00:00,2026-06-17T10:32:53.812323+00:00
2026-06-17T10:32:54.747086+00:00,Daniel Jarik,green,130.42,2026-06-17T10:30:44.323107+00:00,2026-06-17T10:32:54.747078+00:00
2026-06-17T10:40:03.938738+00:00,sten  miroslav,purple,335.16,2026-06-17T10:34:28.780035+00:00,2026-06-17T10:40:03.938734+00:00
2026-06-17T10:40:05.314550+00:00,Daniel Jarik,green,336.53,2026-06-17T10:34:28.779551+00:00,2026-06-17T10:40:05.314544+00:00
